region,bg_code,berufsgruppe,median_entgelt
Mecklenburg-Vorpommern,825,"Medizin-, Orthopädie- und Rehatechnik",2.869
Mecklenburg-Vorpommern,831,"Erziehung,Sozialarb.,Heilerziehungspfl.",3.924
Mecklenburg-Vorpommern,832,Hauswirtschaft und Verbraucherberatung,2.477
Mecklenburg-Vorpommern,842,"Lehrt.berufsb.Fächer,betr.Ausb.,Betr.päd",4.511
Mecklenburg-Vorpommern,844,Lehrtätigk. außerschul.Bildungseinricht.,3.843
Mecklenburg-Vorpommern,912,Geisteswissenschaften,None
Mecklenburg-Vorpommern,913,Gesellschaftswissenschaften,None
Mecklenburg-Vorpommern,921,Werbung und Marketing,2.787
Mecklenburg-Vorpommern,924,Redaktion und Journalismus,None
Mecklenburg-Vorpommern,932,"Innenarchitektur, Raumausstattung",None
Niedersachsen,121,Gartenbau,3.091
Niedersachsen,221,"Kunststoff,Kautschukherstell.,verarbeit",3.344
Niedersachsen,231,Papier- und Verpackungstechnik,3.876
Niedersachsen,232,Technische Mediengestaltung,3.251
Niedersachsen,261,Mechatronik und Automatisierungstechnik,4.195
Niedersachsen,262,Energietechnik,4.495
Niedersachsen,263,Elektrotechnik,4.325
Niedersachsen,271,Technische Forschung und Entwicklung,6.389
Niedersachsen,273,"Technische Produktionsplanung,-steuerung",5.184
Niedersachsen,282,Textilverarbeitung,3.364
Niedersachsen,292,Lebensmittel- u. Genussmittelherstellung,2.880
Niedersachsen,311,"Bauplanung u. -überwachung, Architektur",5.426
Niedersachsen,411,Mathematik und Statistik,None
Niedersachsen,431,Informatik,5.125
Niedersachsen,432,"IT-Systemanalyse,Anwenderber,IT-Vertrieb",5.945
Niedersachsen,433,"IT-Netzwerkt.,-Koord.,-Administr.,-Orga.",5.409
Niedersachsen,434,Softwareentwicklung und Programmierung,5.283
Niedersachsen,513,"Lagerwirt.,Post,Zustellung,Güterumschlag",2.931
Niedersachsen,516,Kaufleute - Verkehr und Logistik,3.894
Niedersachsen,521,Fahrzeugführung im Straßenverkehr,3.021
Niedersachsen,525,Bau- und Transportgeräteführung,3.468
Niedersachsen,541,Reinigung,2.532
Niedersachsen,611,Einkauf und Vertrieb,5.120
Niedersachsen,612,Handel,3.625
Niedersachsen,621,Verkauf (ohne Produktspezialisierung),3.013
Niedersachsen,623,Verkauf von Lebensmitteln,2.477
Niedersachsen,632,Hotellerie,2.818
Niedersachsen,633,Gastronomie,2.497
